1032	1061	1088	1114	1139	1162	1184	1204	1223	1239	1253	1265	1274	1281	1285	1286	1285	1281	1274	1265	1253	1239	1223	1204	1184	1162	1139	1114	1088	1061
1061	1090	1118	1146	1171	1196	1219	1240	1259	1277	1292	1304	1314	1321	1325	1327	1325	1321	1314	1304	1292	1277	1259	1240	1219	1196	1171	1146	1118	1090
1088	1118	1148	1176	1203	1229	1253	1275	1296	1314	1330	1343	1354	1362	1366	1368	1366	1362	1354	1343	1330	1314	1296	1275	1253	1229	1203	1176	1148	1118
1114	1146	1176	1206	1234	1261	1286	1310	1331	1351	1368	1382	1394	1402	1407	1409	1407	1402	1394	1382	1368	1351	1331	1310	1286	1261	1234	1206	1176	1146
1139	1171	1203	1234	1263	1292	1318	1343	1366	1387	1405	1421	1433	1442	1448	1450	1448	1442	1433	1421	1405	1387	1366	1343	1318	1292	1263	1234	1203	1171
1162	1196	1229	1261	1292	1321	1349	1376	1400	1422	1442	1459	1472	1482	1488	1490	1488	1482	1472	1459	1442	1422	1400	1376	1349	1321	1292	1261	1229	1196
1184	1219	1253	1286	1318	1349	1379	1407	1433	1457	1478	1497	1511	1522	1529	1531	1529	1522	1511	1497	1478	1457	1433	1407	1379	1349	1318	1286	1253	1219
1204	1240	1275	1310	1343	1376	1407	1437	1465	1490	1513	1534	1550	1562	1570	1572	1570	1562	1550	1534	1513	1490	1465	1437	1407	1376	1343	1310	1275	1240
1223	1259	1296	1331	1366	1400	1433	1465	1494	1522	1547	1570	1588	1602	1610	1613	1610	1602	1588	1570	1547	1522	1494	1465	1433	1400	1366	1331	1296	1259
1239	1277	1314	1351	1387	1422	1457	1490	1522	1552	1580	1604	1625	1641	1650	1654	1650	1641	1625	1604	1580	1552	1522	1490	1457	1422	1387	1351	1314	1277
1253	1292	1330	1368	1405	1442	1478	1513	1547	1580	1610	1637	1661	1679	1691	1695	1691	1679	1661	1637	1610	1580	1547	1513	1478	1442	1405	1368	1330	1292
1265	1304	1343	1382	1421	1459	1497	1534	1570	1604	1637	1668	1695	1716	1731	1736	1731	1716	1695	1668	1637	1604	1570	1534	1497	1459	1421	1382	1343	1304
1274	1314	1354	1394	1433	1472	1511	1550	1588	1625	1661	1695	1726	1752	1770	1776	1770	1752	1726	1695	1661	1625	1588	1550	1511	1472	1433	1394	1354	1314
1281	1321	1362	1402	1442	1482	1522	1562	1602	1641	1679	1716	1752	1783	1808	1817	1808	1783	1752	1716	1679	1641	1602	1562	1522	1482	1442	1402	1362	1321
1285	1325	1366	1407	1448	1488	1529	1570	1610	1650	1691	1731	1770	1808	1841	1858	1841	1808	1770	1731	1691	1650	1610	1570	1529	1488	1448	1407	1366	1325
1286	1327	1368	1409	1450	1490	1531	1572	1613	1654	1695	1736	1776	1817	1858	1899	1858	1817	1776	1736	1695	1654	1613	1572	1531	1490	1450	1409	1368	1327
1285	1325	1366	1407	1448	1488	1529	1570	1610	1650	1691	1731	1770	1808	1841	1858	1841	1808	1770	1731	1691	1650	1610	1570	1529	1488	1448	1407	1366	1325
1281	1321	1362	1402	1442	1482	1522	1562	1602	1641	1679	1716	1752	1783	1808	1817	1808	1783	1752	1716	1679	1641	1602	1562	1522	1482	1442	1402	1362	1321
1274	1314	1354	1394	1433	1472	1511	1550	1588	1625	1661	1695	1726	1752	1770	1776	1770	1752	1726	1695	1661	1625	1588	1550	1511	1472	1433	1394	1354	1314
1265	1304	1343	1382	1421	1459	1497	1534	1570	1604	1637	1668	1695	1716	1731	1736	1731	1716	1695	1668	1637	1604	1570	1534	1497	1459	1421	1382	1343	1304
1253	1292	1330	1368	1405	1442	1478	1513	1547	1580	1610	1637	1661	1679	1691	1695	1691	1679	1661	1637	1610	1580	1547	1513	1478	1442	1405	1368	1330	1292
1239	1277	1314	1351	1387	1422	1457	1490	1522	1552	1580	1604	1625	1641	1650	1654	1650	1641	1625	1604	1580	1552	1522	1490	1457	1422	1387	1351	1314	1277
1223	1259	1296	1331	1366	1400	1433	1465	1494	1522	1547	1570	1588	1602	1610	1613	1610	1602	1588	1570	1547	1522	1494	1465	1433	1400	1366	1331	1296	1259
1204	1240	1275	1310	1343	1376	1407	1437	1465	1490	1513	1534	1550	1562	1570	1572	1570	1562	1550	1534	1513	1490	1465	1437	1407	1376	1343	1310	1275	1240
1184	1219	1253	1286	1318	1349	1379	1407	1433	1457	1478	1497	1511	1522	1529	1531	1529	1522	1511	1497	1478	1457	1433	1407	1379	1349	1318	1286	1253	1219
1162	1196	1229	1261	1292	1321	1349	1376	1400	1422	1442	1459	1472	1482	1488	1490	1488	1482	1472	1459	1442	1422	1400	1376	1349	1321	1292	1261	1229	1196
1139	1171	1203	1234	1263	1292	1318	1343	1366	1387	1405	1421	1433	1442	1448	1450	1448	1442	1433	1421	1405	1387	1366	1343	1318	1292	1263	1234	1203	1171
1114	1146	1176	1206	1234	1261	1286	1310	1331	1351	1368	1382	1394	1402	1407	1409	1407	1402	1394	1382	1368	1351	1331	1310	1286	1261	1234	1206	1176	1146
1088	1118	1148	1176	1203	1229	1253	1275	1296	1314	1330	1343	1354	1362	1366	1368	1366	1362	1354	1343	1330	1314	1296	1275	1253	1229	1203	1176	1148	1118
1061	1090	1118	1146	1171	1196	1219	1240	1259	1277	1292	1304	1314	1321	1325	1327	1325	1321	1314	1304	1292	1277	1259	1240	1219	1196	1171	1146	1118	1090
